y,ds
87.98274915270987,2023-12-10
87.57613703522728,2023-12-11
73.6673719184579,2023-12-12
83.52975012965067,2023-12-13
82.64824652664028,2023-12-14
74.52935852426663,2023-12-15
86.15292529874002,2023-12-16
82.3599788881301,2023-12-17
77.58229118265994,2023-12-18
84.04439224944822,2023-12-19
76.43363611149749,2023-12-20
79.00213521352079,2023-12-21
82.49341069033726,2023-12-22
78.38700286788594,2023-12-23
81.70614657746768,2023-12-24
88.92377226750078,2023-12-25
81.6260169515476,2023-12-26
81.6161864710002,2023-12-27
88.8022913659981,2023-12-28
84.12587676963211,2023-12-29
